               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,            0.036655,            0.021244,                   0,             0.83266,             0.75685,             0.81357,             0.48064,            0.036877,            0.012824,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.036528,            0.021072,                   0,             0.83569,             0.75841,             0.81574,             0.48207,            0.036808,            0.012802,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.036343,            0.021214,                   0,             0.83607,             0.75864,             0.81566,             0.48369,            0.036732,            0.012771,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.036529,            0.021309,                   0,             0.83735,             0.76072,             0.81588,             0.48412,            0.036665,            0.012748,                   0,            0.001882,            0.001882,            0.001882
                  84,             0.03596,            0.021103,                   0,             0.83576,             0.76064,             0.81668,             0.48547,            0.036603,            0.012725,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.035953,            0.020618,                   0,             0.83367,             0.76554,             0.81796,             0.48642,            0.036537,            0.012701,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.035717,            0.020606,                   0,             0.83294,             0.76562,             0.81789,             0.48769,            0.036466,            0.012679,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.035616,            0.021102,                   0,             0.83498,             0.76688,              0.8192,             0.48856,            0.036399,            0.012659,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.035577,            0.020935,                   0,             0.83456,             0.76956,             0.81919,             0.48927,            0.036355,             0.01264,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.035581,            0.020382,                   0,             0.83412,             0.76956,             0.81939,             0.49036,            0.036308,            0.012623,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.035116,            0.020672,                   0,             0.83299,             0.76978,             0.81964,             0.49099,            0.036267,            0.012606,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.035002,            0.020446,                   0,               0.832,                0.77,             0.81945,             0.49197,            0.036233,            0.012592,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.034986,            0.020613,                   0,             0.83129,             0.77089,             0.81918,             0.49257,            0.036195,            0.012576,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.034854,            0.020366,                   0,             0.83169,             0.77201,              0.8201,             0.49354,            0.036157,             0.01256,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.034652,            0.020386,                   0,             0.83423,             0.76978,             0.81962,             0.49427,            0.036126,            0.012546,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.034519,            0.020263,                   0,             0.83395,             0.77156,             0.82037,             0.49493,            0.036089,            0.012532,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.034101,            0.020283,                   0,             0.83454,             0.77113,             0.81992,             0.49599,             0.03606,            0.012518,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.033967,            0.020343,                   0,             0.83445,             0.77179,              0.8205,             0.49685,            0.036032,            0.012506,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.034208,            0.020261,                   0,             0.83377,             0.77134,             0.82037,             0.49748,            0.036006,            0.012496,                   0,            0.000397,            0.000397,            0.000397
                  99,             0.03396,            0.019972,                   0,             0.83235,             0.77342,             0.82087,             0.49794,            0.035988,            0.012487,                   0,            0.000298,            0.000298,            0.000298
